wd:Q57660343	wd:Q622425
wd:Q124361323	wd:Q124363977
wd:Q1161707	wd:Q921099
wd:Q271669	wd:Q1051581
wd:Q111467075	wd:Q5141021
wd:Q17537576	wd:Q17074865
wd:Q309100	wd:Q287260
wd:Q484652	wd:Q29300714
wd:Q6063277	wd:Q25351772
wd:Q1056396	wd:Q852602
wd:Q1783551	wd:Q166760
wd:Q52153638	wd:Q12368077
wd:Q1516537	wd:Q961082
wd:Q19953632	wd:Q62005833
wd:Q1000660	wd:Q1133024
wd:Q49773	wd:Q58428578
wd:Q1922981	wd:Q43495326
wd:Q124664785	wd:Q4936952
wd:Q61054219	wd:Q767411
wd:Q1301433	wd:Q216146
wd:Q56751006	wd:Q847949
wd:Q1414390	wd:Q1352795
wd:Q106071004	wd:Q106072745
wd:Q164236	wd:Q11496048
wd:Q18536342	wd:Q124020978
wd:Q19403959	wd:Q17005145
wd:Q1339255	wd:Q2143008
wd:Q159391	wd:Q1048419
wd:Q9262	wd:Q3037794
wd:Q124632248	wd:Q124711296
wd:Q1685451	wd:Q10595090
wd:Q3622126	wd:Q369074
wd:Q2518689	wd:Q351234
wd:Q494141	wd:Q190109
wd:Q47512214	wd:Q47512221
wd:Q13220204	wd:Q4131030
wd:Q451553	wd:Q1299906
wd:Q41176	wd:Q1570373
wd:Q1639780	wd:Q4808619
wd:Q1190554	wd:Q21013267
wd:Q748349	wd:Q6934590
wd:Q23400204	wd:Q173350
wd:Q1752346	wd:Q7137435
wd:Q1440476	wd:Q107096063
wd:Q26836193	wd:Q1816217
wd:Q132137	wd:Q116926
wd:Q7832362	wd:Q180494
wd:Q33270056	wd:Q104587594
wd:Q19953632	wd:Q17310396
wd:Q478798	wd:Q837816
wd:Q10354598	wd:Q131596
wd:Q1190554	wd:Q12047512
wd:Q1348006	wd:Q877290
wd:Q1190554	wd:Q10283188
wd:Q757012	wd:Q189447
wd:Q63872603	wd:Q63872616
wd:Q120169965	wd:Q17157259
wd:Q1072363	wd:Q106366524
wd:Q362200	wd:Q10660049
wd:Q62122079	wd:Q492038
wd:Q50995749	wd:Q107314129
wd:Q18533509	wd:Q15985128
wd:Q2588761	wd:Q15986539
wd:Q1914636	wd:Q257931
wd:Q15621286	wd:Q18591554
wd:Q4110598	wd:Q41685600
wd:Q149566	wd:Q1314860
wd:Q334911	wd:Q2111092
wd:Q29025902	wd:Q83471
wd:Q126780	wd:Q188488
wd:Q15123870	wd:Q21648161
wd:Q51977	wd:Q62933249
wd:Q47322149	wd:Q60660731
wd:Q7574983	wd:Q373822
wd:Q17103860	wd:Q1725874
wd:Q1251441	wd:Q7883466
wd:Q15710834	wd:Q599797
wd:Q9174	wd:Q247700
wd:Q1328323	wd:Q61876950
wd:Q1760141	wd:Q3012683
wd:Q1783551	wd:Q1346408
wd:Q282952	wd:Q7333618
wd:Q5004791	wd:Q2444108
wd:Q5962346	wd:Q28873665
wd:Q11499147	wd:Q76418315
wd:Q843958	wd:Q2449326
wd:Q2385804	wd:Q278697
wd:Q2608811	wd:Q132382
wd:Q5004791	wd:Q13360264
wd:Q3302125	wd:Q56291528
wd:Q39546	wd:Q30322382
wd:Q206615	wd:Q35473
wd:Q13136	wd:Q162827
wd:Q105626471	wd:Q122987739
wd:Q1782964	wd:Q7643429
wd:Q602884	wd:Q3042783
wd:Q11325731	wd:Q114250619
wd:Q797769	wd:Q14827288
wd:Q1347816	wd:Q946790
wd:Q1387659	wd:Q3245116
wd:Q123302470	wd:Q59781427
wd:Q1478459	wd:Q5276193
wd:Q2588761	wd:Q32947888
wd:Q1131243	wd:Q133771
wd:Q22698	wd:Q107691492
wd:Q13366129	wd:Q660303
wd:Q107679	wd:Q734236
wd:Q182357	wd:Q10296750
wd:Q748822	wd:Q5450120
wd:Q766366	wd:Q1317494
wd:Q14861286	wd:Q7220961
wd:Q4835091	wd:Q25377652
wd:Q33274034	wd:Q3342913
wd:Q205663	wd:Q5375490
wd:Q214609	wd:Q1398005
wd:Q1068623	wd:Q107096063
wd:Q15462162	wd:Q105871035
wd:Q5260670	wd:Q7556726
wd:Q147538	wd:Q1552812
wd:Q12059906	wd:Q210377
wd:Q186081	wd:Q837999
wd:Q45025858	wd:Q1200750
wd:Q27096235	wd:Q4580177
wd:Q548662	wd:Q23309084
wd:Q2066131	wd:Q6885897
wd:Q4989906	wd:Q100249660
wd:Q82799	wd:Q4189293
wd:Q8205328	wd:Q29955851
wd:Q1639361	wd:Q15194024
wd:Q1391083	wd:Q123653520
wd:Q848569	wd:Q2664426
wd:Q47537235	wd:Q653007
wd:Q1221145	wd:Q18810458
wd:Q386724	wd:Q41719
wd:Q64728693	wd:Q119495279
wd:Q719395	wd:Q112845071
wd:Q65089289	wd:Q2783798
wd:Q2995644	wd:Q53665230
wd:Q2462658	wd:Q102035952
wd:Q82025	wd:Q834007
wd:Q15989253	wd:Q11170300
