wikc	wikidata
wd:Q15989253	wd:Q15989253
wd:Q15989253	wd:Q227505
wd:Q15989253	wd:Q1310239
wd:Q15989253	wd:Q56052926
wd:Q15989253	wd:Q10888818
wd:Q15989253	wd:Q1529874
wd:Q15989253	wd:Q23005640
wd:Q30241068	wd:Q483247
wd:Q30241068	wd:Q30241068
wd:Q2995644	wd:Q21075690
wd:Q2995644	wd:Q17104930
wd:Q2995644	wd:Q2995644
wd:Q123057055	wd:Q53869933
wd:Q123057055	wd:Q123057055
wd:Q16686448	wd:Q3619132
wd:Q16686448	wd:Q16686448
wd:Q2424752	wd:Q3244175
wd:Q2424752	wd:Q2424752
wd:Q11019	wd:Q30066789
wd:Q11019	wd:Q448030
wd:Q11019	wd:Q11019
wd:Q11019	wd:Q1882685
wd:Q4406616	wd:Q4406616
wd:Q4406616	wd:Q223557
wd:Q118870638	wd:Q118870638
wd:Q118870638	wd:Q222032
wd:Q28732711	wd:Q28732711
wd:Q28732711	wd:Q19829510
wd:Q3695082	wd:Q3695082
wd:Q3695082	wd:Q188889
wd:Q2342494	wd:Q2342494
wd:Q2342494	wd:Q18593264
wd:Q20203388	wd:Q20203388
wd:Q20203388	wd:Q12769393
wd:Q14897293	wd:Q123461693
wd:Q14897293	wd:Q47306921
wd:Q14897293	wd:Q65554950
wd:Q14897293	wd:Q122380487
wd:Q14897293	wd:Q14897293
wd:Q116699470	wd:Q116699470
wd:Q116699470	wd:Q116700127
wd:Q205663	wd:Q932410
wd:Q1753378	wd:Q911331
wd:Q1753378	wd:Q1753378
wd:Q609408	wd:Q609408
wd:Q609408	wd:Q910150
wd:Q64830866	wd:Q901882
wd:Q64830866	wd:Q18819626
wd:Q64830866	wd:Q64830866
wd:Q811909	wd:Q839546
wd:Q811909	wd:Q811909
wd:Q811909	wd:Q1364774
wd:Q8205328	wd:Q8205328
wd:Q8205328	wd:Q57498564
wd:Q8205328	wd:Q79496108
wd:Q1888611	wd:Q782395
wd:Q1888611	wd:Q1888611
wd:Q12047512	wd:Q12047512
wd:Q12047512	wd:Q781413
wd:Q66394244	wd:Q7239
wd:Q66394244	wd:Q66394244
wd:Q7977957	wd:Q719395
wd:Q7977957	wd:Q7977957
wd:Q37930	wd:Q37930
wd:Q37930	wd:Q16937116
wd:Q37930	wd:Q673383
wd:Q2095	wd:Q2095
wd:Q2095	wd:Q474191
wd:Q82821	wd:Q4461766
wd:Q82821	wd:Q36192
wd:Q82821	wd:Q82821
wd:Q44167	wd:Q423488
wd:Q44167	wd:Q29380218
wd:Q44167	wd:Q44167
wd:Q2184715	wd:Q369594
wd:Q2184715	wd:Q2184715
wd:Q100701259	wd:Q100701259
wd:Q100701259	wd:Q3240166
wd:Q320809	wd:Q31029
wd:Q320809	wd:Q320809
wd:Q8513	wd:Q3071343
wd:Q8513	wd:Q8513
wd:Q17176533	wd:Q17176533
wd:Q17176533	wd:Q30059018
wd:Q19403027	wd:Q19403027
wd:Q19403027	wd:Q2438179
wd:Q190157	wd:Q21593165
wd:Q190157	wd:Q190157
wd:Q1979154	wd:Q1979154
wd:Q1979154	wd:Q2030462
wd:Q35127	wd:Q35127
wd:Q35127	wd:Q18450215
wd:Q4164871	wd:Q1807498
wd:Q4164871	wd:Q4164871
wd:Q4164871	wd:Q4189293
wd:Q386724	wd:Q386724
wd:Q386724	wd:Q109648042
wd:Q386724	wd:Q15621286
wd:Q386724	wd:Q17489659
wd:Q21451536	wd:Q17305127
wd:Q21451536	wd:Q21451536
wd:Q428148	wd:Q109934417
wd:Q428148	wd:Q428148
wd:Q428148	wd:Q1553864
wd:Q6999	wd:Q6999
wd:Q6999	wd:Q1519541
wd:Q211606	wd:Q211606
wd:Q211606	wd:Q1518716
wd:Q2642629	wd:Q2642629
wd:Q2642629	wd:Q141488
wd:Q4781718	wd:Q1397059
wd:Q4781718	wd:Q4781718
wd:Q79375	wd:Q79375
wd:Q79375	wd:Q1326019
wd:Q185674	wd:Q185674
wd:Q185674	wd:Q12559031
wd:Q117209155	wd:Q117209155
wd:Q117209155	wd:Q117209156
wd:Q117207320	wd:Q117207320
wd:Q117207320	wd:Q117207331
wd:Q115922801	wd:Q115923031
wd:Q115922801	wd:Q115922801
wd:Q19798644	wd:Q115463072
wd:Q19798644	wd:Q19798644
wd:Q53731850	wd:Q11396303
wd:Q53731850	wd:Q53731850
wd:Q41207	wd:Q41207
wd:Q41207	wd:Q111552558
wd:Q618779	wd:Q5257307
wd:Q618779	wd:Q618779
wd:Q618779	wd:Q47502370
wd:Q618779	wd:Q107655869
