qid,itemLabel
wd:Q28640,profession
wd:Q32880,architectural style
wd:Q188451,music genre
wd:Q190087,data type
wd:Q223393,literary genre
wd:Q483394,genre
wd:Q627436,field of work
wd:Q636033,archive type
wd:Q659563,video game genre
wd:Q716676,class of computers
wd:Q811102,building type
wd:Q862597,musical form
wd:Q864866,type of biotope
wd:Q997433,dependent type
wd:Q1063547,voice type
wd:Q1194240,science fiction genre
wd:Q1307214,form of government
wd:Q1792379,art genre
wd:Q1792644,art style
wd:Q1803829,landscape type
wd:Q2933978,radio play genre
wd:Q3100808,photography genre
wd:Q3546112,insurance type
wd:Q3546121,type of cheese
wd:Q4178140,anime and manga genre
wd:Q4263830,literary form
wd:Q4442611,fashion style
wd:Q4903281,biblical genre
wd:Q4942576,bonsai style
wd:Q5127848,class
wd:Q5151404,comedic genre
wd:Q6630149,narrative form
wd:Q7099018,option style
wd:Q7311707,speaker type
wd:Q7534137,skateboarding style
wd:Q7604387,statistical data type
wd:Q7777573,theatrical genre
wd:Q7860953,type of marriage
wd:Q9363686,lake type
wd:Q10926413,soil type
wd:Q11556633,flow type
wd:Q11668217,type of station
wd:Q12046615,feature type
wd:Q12104030,epic literary genre
wd:Q12119802,lyric poetry genre
wd:Q12343431,television series genre
wd:Q13405586,non-fiction literature genre
wd:Q15729598,coachwork type
wd:Q15961983,radio genre
wd:Q16743958,genre of painting
wd:Q16889133,class
wd:Q17155032,software category
wd:Q17166135,type of socialism
wd:Q17399019,style of painting
wd:Q18169332,lichen growth form
wd:Q18195680,shoe style
wd:Q18783400,genre of sculpture
wd:Q19832479,vessel class
wd:Q19861951,type of food or dish
wd:Q20076756,speculative/fantastic fiction genre
wd:Q20087698,comic genre
wd:Q20643324,opera genre
wd:Q20644555,fantasy genre
wd:Q20656220,thriller genre
wd:Q20819322,tattoo style
wd:Q20819739,competition type
wd:Q20829075,type of language
wd:Q21146257,type
wd:Q22675015,type of quantum particle
wd:Q22676255,aircraft lift-undercarriage class
wd:Q22676262,aircraft power-undercarriage class
wd:Q23012297,type of electricity transmission
wd:Q24017852,pottery style
wd:Q28149961,type of fruit
wd:Q28923954,languoid class
wd:Q38786485,form of communication
wd:Q39725049,type of publication
wd:Q45971958,performing arts genre
wd:Q49148153,pornography genre
wd:Q50002046,type of magnets
wd:Q56055944,type of arts
wd:Q56116950,film award category
wd:Q56147411,rug style
wd:Q62027158,type of dam
wd:Q63244467,family-specific aircraft model class
wd:Q63244922,aircraft manufacturer class
wd:Q63718619,type of law
wd:Q63981612,product category
wd:Q63982911,type of museum
wd:Q66152509,boardgame genre
wd:Q67543045,aircraft function-undercarriage class
wd:Q69130097,aircraft function-lift-undercarriage class
wd:Q78088984,study type
wd:Q81947509,album type
wd:Q98966309,classification of human settlements
wd:Q106428284,aircraft lift-power-undercarriage class
wd:Q106428953,aircraft function-lift-power-undercarriage class
wd:Q106428974,aircraft function-power-undercarriage class
wd:Q106621729,folk music genre
wd:Q106628249,world music genre
wd:Q106901436,type of documents of PRC governments
wd:Q107317889,type of record label
wd:Q107356781,song type
wd:Q107357104,type of dance
wd:Q107359024,class of election
wd:Q107467117,type of award
wd:Q107478770,document genre
wd:Q107487333,type of musical work/composition
wd:Q107547436,theatre award category
wd:Q107547743,circus award category
wd:Q107547950,music award category
wd:Q107549740,television award category
wd:Q107549741,radio award category
wd:Q107551175,game genre
wd:Q107975727,rock genre
wd:Q108028209,designation type
wd:Q108317211,novel genre
wd:Q108465955,fiction genre
wd:Q108466143,non-fiction genre
wd:Q108586636,form of event
wd:Q108676140,audio content genre
wd:Q108680062,form of festival
wd:Q109542218,class of parts
wd:Q109598321,literary style
wd:Q110013851,type of theatrical work
wd:Q110169000,type of literary work
wd:Q110220157,poetry genre
wd:Q110295396,type of musical instrument
wd:Q110314665,type of error
wd:Q110401222,religion type
wd:Q110401282,type of world view
wd:Q83206698,street light style
wd:Q89522629,poetic form
wd:Q96116695,type of system
wd:Q96195030,jazz genre
wd:Q96200402,electronic music genre
wd:Q96247293,type of management
wd:Q96251375,type of policy
wd:Q96251598,type of object
wd:Q96264607,type of security
wd:Q96273743,type of test
wd:Q96338860,type of garden
wd:Q96758092,type of regulation and control
wd:Q98038492,membership type
wd:Q100912473,type of bias
wd:Q101208084,type of risk
wd:Q103110540,anime genre
wd:Q103112098,manga genre
wd:Q103812529,organ type
wd:Q104098715,territorial entity type
wd:Q104624828,book form
wd:Q104822033,podcast genre
wd:Q105635529,blues genre
wd:Q105756498,type of musical ensemble/group
wd:Q106043376,music release type
wd:Q106179098,sailboat class
wd:Q106238462,genre of piyyut
wd:Q123518708,audiobook genre
wd:Q123574795,type of political party
wd:Q123588392,type of tool
wd:Q124027012,type of animated work
wd:Q124709316,type of inscription
wd:Q124867660,type of war
wd:Q124996351,processor type
wd:Q125005976,type of computer memory or storage
wd:Q110403031,knowledge type
