qid,itemLabel
wd:Q203872,being
wd:Q282250,qualia
wd:Q378078,substance
wd:Q488383,object
wd:Q1318674,testbed
wd:Q2995644,result
wd:Q3799040,unobservable entity
wd:Q3826351,referent
wd:Q3885844,origin
wd:Q7048977,abstract entity
wd:Q15893266,former entity
wd:Q15989253,part (piece)
wd:Q16877777,meaning
wd:Q16877783,meaning
wd:Q17853087,union
wd:Q18706315,hypothetical entity
wd:Q23958946,individual entity
wd:Q24238356,unknown
wd:Q25047676,named entity
wd:Q30241068,observable entity
wd:Q31464082,source
wd:Q35825432,converter
wd:Q42503289,nameless entity
wd:Q59496158,not yet determined
wd:Q64728693,non-existent entity
wd:Q66591980,Foundational Model of Anatomy attribute entity
wd:Q67518978,occurrent
wd:Q96196524,current entity
wd:Q99527517,collective entity
wd:Q103940464,continuant
wd:Q115095765,location
wd:Q115471117,self-depicting entity
wd:Q119515609,recipient
wd:Q120077072,something
wd:Q120725535,unidentified entity
wd:Q121770302,conceptual entity
wd:Q121770419,intellectual product
wd:Q122754124,ambiguous Wikidata item
